,age,ast_pct,blk_pct,bpm,bpm-dum,dbpm,drb_pct,dws,fg3a_per_fga_pct,fta_per_fga_pct,g,href,mp,obpm,orb_pct,ows,per,player,player_id,pos,season,stl_pct,team_id,tov_pct,trb_pct,ts_pct,usg_pct,vorp,ws,ws-dum,ws_per_48,birthplace,Region,City
11816,23,,,,,,,0.2,,0.186,60,/players/w/wiesebo01.html,326.0,,,-0.9,7.5,Bob Wiesenhahn,wiesebo01,SF,1962.0,,CIN,,,0.342,,,-0.7,,-0.107,,,
11818,24,,,,,,,0.3,,0.21,37,/players/y/yateswa01.html,263.0,,,-0.8,4.1,Wayne Yates,yateswa01,C,1962.0,,LAL,,,0.314,,,-0.5,,-0.085,,,
11851,22,,,,,,,0.0,,0.1,7,/players/f/fedorda01.html,27.0,,,-0.1,2.2,Dave Fedor,fedorda01,F,1963.0,,SFW,,,0.287,,,-0.1,,-0.128,,,
11862,25,,,,,,,0.0,,0.0,1,/players/g/gunthda01.html,5.0,,,0.0,31.6,Dave Gunther,gunthda01,F,1963.0,,SFW,,,0.5,,,0.0,,0.204,,,
11892,22,,,,,,,0.3,,0.27,31,/players/m/meriwpo01.html,268.0,,,-0.1,12.4,Porter Meriwether,meriwpo01,PG,1963.0,,SYR,,,0.436,,,0.2,,0.03,,,
11894,22,,,,,,,0.3,,0.15,20,/players/m/montgho01.html,364.0,,,-0.1,9.9,Howie Montgomery,montgho01,SF,1963.0,,SFW,,,0.441,,,0.1,,0.018,,,
11900,23,,,,,,,0.1,,0.278,39,/players/n/nowelme01.html,589.0,,,-0.2,10.5,Mel Nowell,nowelme01,SG,1963.0,,CHZ,,,0.436,,,-0.1,,-0.006,,,
11902,22,,,,,,,0.3,,0.293,52,/players/o/olsenbu01.html,373.0,,,-0.6,7.9,Bud Olsen,olsenbu01,PF,1963.0,,CIN,,,0.376,,,-0.3,,-0.043,,,
11921,21,,,,,,,0.0,,0.2,3,/players/s/sladeje01.html,20.0,,,0.0,5.8,Jeff Slade,sladeje01,F,1963.0,,CHZ,,,0.368,,,0.0,,-0.053,,,
11932,22,,,,,,,0.0,,1.0,3,/players/w/wellsra01.html,48.0,,,-0.2,-0.2,Ralph Wells,wellsra01,G,1963.0,,CHZ,,,0.099,,,-0.2,,-0.179,,,
11934,23,,,,,,,0.2,,0.162,29,/players/w/whitehu01.html,271.0,,,-0.4,6.3,Hubie White,whitehu01,SG,1963.0,,SFW,,,0.387,,,-0.2,,-0.038,,,
11935,25,,,,,,,1.8,,0.288,75,/players/w/wileyge01.html,1488.0,,,0.0,7.7,Gene Wiley,wileyge01,C,1963.0,,LAL,,,0.453,,,1.8,,0.058,,,
11954,24,,,,,,,0.1,,0.432,12,/players/c/comlela01.html,89.0,,,-0.4,5.6,Larry Comley,comlela01,G,1964.0,,BAL,,,0.284,,,-0.3,,-0.167,,,
11971,22,,,,,,,0.2,,0.556,20,/players/g/greenje01.html,280.0,,,-0.1,8.7,Jerry Greenspan,greenje01,SG,1964.0,,PHI,,,0.438,,,0.1,,0.02,,,
11983,22,,,,,,,1.4,,0.201,67,/players/h/hillga01.html,1015.0,,,-0.9,7.8,Gary Hill,hillga01,SG,1964.0,,SFW,,,0.41,,,0.6,,0.027,,,
12020,24,,,,,,,0.0,,0.0,2,/players/r/rohloke01.html,7.0,,,0.0,-9.6,Ken Rohloff,rohloke01,G,1964.0,,STL,,,0.0,,,0.0,,-0.131,,,
12041,22,,,,,,,0.2,,0.321,24,/players/w/wardge01.html,139.0,,,-0.3,7.0,Gerry Ward,wardge01,SG,1964.0,,STL,,,0.355,,,-0.1,,-0.049,,,
12047,23,,,,,,,0.1,,0.296,11,/players/w/windsjo01.html,68.0,,,0.0,12.5,John Windsor,windsjo01,PF,1964.0,,SFW,,,0.442,,,0.1,,0.091,,,
12088,24,17.8,,,,,,0.0,,0.182,11,/players/g/groteje01.html,33.0,,,0.1,14.9,Jerry Grote,groteje01,G,1965.0,,LAL,,,0.589,,,0.1,,0.175,,,
12152,25,23.3,,,,,,0.1,,0.818,4,/players/t/tresvjo01.html,35.0,,,0.0,18.9,John Tresvant,tresvjo01,PF,1965.0,,STL,,,0.468,,,0.1,,0.155,,,
12267,22,58.1,,,,,,0.0,,0.0,1,/players/w/wattsro01.html,3.0,,,0.0,24.8,Ron Watts,wattsro01,F,1966.0,,BOS,,,0.5,,,0.0,,0.29,,,
12304,22,10.5,,,,,,0.5,,0.152,41,/players/e/ellisjo01.html,333.0,,,-0.2,13.1,Joe Ellis,ellisjo01,SF,1967.0,,SFW,,,0.437,,,0.4,,0.056,,,
12323,26,6.8,,,,,,0.0,,0.375,7,/players/h/hogsebo01.html,22.0,,,0.0,12.7,Bob Hogsett,hogsebo01,PF,1967.0,,DET,,,0.429,,,0.0,,-0.016,,,
12355,23,4.9,,,,,,0.4,,0.659,35,/players/m/murredo01.html,311.0,,,0.1,10.0,Dorie Murrey,murredo01,PF,1967.0,,DET,,,0.463,,,0.5,,0.072,,,
12396,26,7.5,,,,,,0.2,,0.392,23,/players/a/actonbu01.html,195.0,,,-0.1,9.5,Bud Acton,actonbu01,SF,1968.0,,SDR,,,0.444,,,0.1,,0.021,,,
12398,23,20.3,,,,,,0.1,,0.966,18,/players/a/andercl01.html,94.0,,,-0.3,4.5,Cliff Anderson,andercl01,SG,1968.0,,LAL,,,0.315,,,-0.2,,-0.113,,,
12413,23,19.1,,,,,,0.1,,0.088,11,/players/b/brittty01.html,84.0,,,-0.1,9.5,Tyrone Britt,brittty01,SG,1968.0,,SDR,,,0.396,,,0.0,,-0.02,,,
12415,22,13.0,,,,,,0.0,,0.0,3,/players/b/burnsji01.html,11.0,,,-0.1,4.3,Jim Burns,burnsji01,SG,1968.0,,CHI,,,0.286,,,-0.1,,-0.248,,,
12430,24,4.6,,,,,,0.2,,0.285,67,/players/d/dinwibi01.html,871.0,,,-0.7,9.4,Bill Dinwiddie,dinwibi01,SF,1968.0,,CIN,,,0.427,,,-0.5,,-0.028,,,
12439,23,12.7,,,,,,0.1,,0.298,19,/players/f/filipro01.html,73.0,,,-0.2,13.5,Ron Filipek,filipro01,F,1968.0,,PHI,,,0.404,,,0.0,,-0.009,,,
12445,22,9.9,,,,,,0.9,,0.324,48,/players/g/grahama01.html,786.0,,,0.2,8.8,Mal Graham,grahama01,PG,1968.0,,BOS,,,0.467,,,1.1,,0.067,,,
12446,22,12.5,,,,,,0.0,,0.075,44,/players/g/grayga01.html,276.0,,,-0.6,5.4,Gary Gray,grayga01,SG,1968.0,,CIN,,,0.379,,,-0.5,,-0.093,,,
12467,22,19.4,,,,,,0.5,,0.297,42,/players/j/jonesni01.html,603.0,,,-0.3,9.9,Nick Jones,jonesni01,PG,1968.0,,SDR,,,0.433,,,0.2,,0.013,,,
12480,22,16.1,,,,,,0.4,,0.523,41,/players/l/lewisbo01.html,342.0,,,0.2,14.4,Bobby Lewis,lewisbo01,SG,1968.0,,SFW,,,0.482,,,0.7,,0.095,,,
12482,22,8.8,,,,,,0.2,,0.209,44,/players/l/lottpl01.html,478.0,,,-0.9,4.7,Plummer Lott,lottpl01,SF,1968.0,,SEA,,,0.343,,,-0.7,,-0.072,,,
12502,28,10.5,,,,,,0.5,,0.286,59,/players/p/pattege01.html,559.0,,,-0.4,7.9,George Patterson,pattege01,C,1968.0,,DET,,,0.401,,,0.1,,0.007,,,
12504,22,7.1,,,,,,0.1,,0.25,6,/players/r/reidji01.html,52.0,,,0.0,10.6,Jim Reid,reidji01,F,1968.0,,PHI,,,0.473,,,0.1,,0.078,,,
12520,22,0.0,,,,,,0.1,,0.143,10,/players/s/spitzcr01.html,44.0,,,-0.1,14.6,Craig Spitzer,spitzcr01,C,1968.0,,CHI,,,0.403,,,0.0,,-0.007,,,
12528,23,4.3,,,,,,0.7,,0.382,42,/players/t/turnebi01.html,482.0,,,0.1,10.6,Bill Turner,turnebi01,SF,1968.0,,SFW,,,0.469,,,0.7,,0.074,,,
12537,21,13.8,,,,,,0.1,,0.283,25,/players/w/weitzri01.html,75.0,,,-0.4,5.6,Rick Weitzman,weitzri01,SG,1968.0,,BOS,,,0.319,,,-0.3,,-0.184,,,
12540,23,0.0,,,,,,0.0,,0.0,4,/players/w/westro01.html,14.0,,,0.0,6.8,Roland West,westro01,G,1968.0,,BAL,,,0.4,,,0.0,,-0.003,,,
12549,22,5.4,,,,,,0.3,,0.837,27,/players/a/allenbo01.html,232.0,,,-0.1,6.8,Bob Allen,allenbo01,PF,1969.0,,SFW,,,0.408,,,0.1,,0.028,,,
12552,23,5.0,,,,,,0.1,,0.203,22,/players/b/barneha01.html,126.0,,,-0.5,2.4,Harry Barnes,barneha01,SF,1969.0,,SDR,,,0.308,,,-0.4,,-0.154,,,
12596,23,19.9,,,,,,0.1,,0.197,48,/players/f/frinkpa01.html,363.0,,,-0.5,7.9,Pat Frink,frinkpa01,SG,1969.0,,CIN,,,0.385,,,-0.5,,-0.064,,,
12605,23,18.4,,,,,,0.1,,0.123,39,/players/h/hairsal01.html,274.0,,,-0.6,6.6,Al Hairston,hairsal01,SG,1969.0,,SEA,,,0.35,,,-0.5,,-0.087,,,
12609,22,23.4,,,,,,0.2,,0.344,26,/players/h/harlisk01.html,218.0,,,0.4,14.8,Skip Harlicka,harlisk01,PG,1969.0,,ATL,,,0.511,,,0.5,,0.119,,,
12610,22,13.8,,,,,,1.2,,0.238,80,/players/h/harriar01.html,2556.0,,,-1.6,9.0,Art Harris,harriar01,SG,1969.0,,SEA,,,0.426,,,-0.4,,-0.007,,,
12626,22,5.9,,,,,,0.3,,0.303,31,/players/j/johnsri01.html,163.0,,,-0.3,9.0,Rich Johnson,johnsri01,C,1969.0,,BOS,,,0.401,,,0.1,,0.022,,,
12630,22,6.4,,,,,,0.6,,0.281,72,/players/k/kennejo01.html,1241.0,,,-0.1,9.1,Joe Kennedy,kennejo01,SF,1969.0,,SEA,,,0.45,,,0.5,,0.02,,,
12633,22,0.0,,,,,,0.0,,0.214,8,/players/k/knowlro01.html,40.0,,,-0.1,-0.1,Rod Knowles,knowlro01,F-C,1969.0,,PHO,,,0.294,,,-0.1,,-0.148,,,
12668,23,11.9,,,,,,0.3,,0.248,38,/players/p/peterlo01.html,299.0,,,-0.1,9.8,Loy Petersen,peterlo01,SG,1969.0,,CHI,,,0.443,,,0.3,,0.045,,,
12710,23,13.8,,,,,,0.0,,0.0,3,/players/w/willicl01.html,18.0,,,-0.1,-3.5,Cliff Williams,willicl01,G,1969.0,,DET,,,0.222,,,-0.1,,-0.277,,,
12712,24,12.5,,,,,,0.4,,0.588,55,/players/w/willisa01.html,628.0,,,-0.8,7.9,Sam Williams,willisa01,SG,1969.0,,MIL,,,0.397,,,-0.4,,-0.033,,,
12719,24,3.2,,,,,,0.3,,0.277,44,/players/a/anderwa01.html,370.0,,,-0.4,8.8,Wally Anderzunas,anderwa01,SF,1970.0,,CIN,,,0.427,,,-0.2,,-0.023,,,
12720,22,23.2,,,,,,0.1,,0.429,11,/players/a/arthujo01.html,86.0,,,-0.1,11.3,John Arthurs,arthujo01,G,1970.0,,MIL,,,0.421,,,0.0,,-0.004,,,
12765,23,10.1,,,,,,2.0,,0.199,73,/players/g/garredi01.html,2318.0,,,0.3,9.4,Dick Garrett,garredi01,SG,1970.0,,LAL,,,0.477,,,2.3,,0.047,,,
12768,22,11.0,,,,,,0.3,,0.257,41,/players/g/greacbo01.html,292.0,,,-0.2,9.0,Bob Greacen,greacbo01,SF,1970.0,,MIL,,,0.437,,,0.1,,0.011,,,
12784,23,10.7,,,,,,0.1,,0.167,14,/players/h/heanebr01.html,70.0,,,0.1,8.3,Brian Heaney,heanebr01,G,1970.0,,BAL,,,0.543,,,0.2,,0.106,,,
12837,22,38.1,,,,,,0.0,,0.368,10,/players/r/reynoge01.html,44.0,,,0.0,18.8,George Reynolds,reynoge01,G,1970.0,,DET,,,0.476,,,0.1,,0.055,,,
12848,21,0.0,,,,,,0.0,,0.0,1,/players/s/scholda01.html,1.0,,,0.0,67.6,Dave Scholz,scholda01,F,1970.0,,PHI,,,1.0,,,0.0,,1.316,,,
12904,29,6.4,,,,,,0.5,,0.292,71,/players/b/blackto01.html,873.0,,,-0.4,9.6,Tom Black,blackto01,C,1971.0,,TOT,,13.6,0.44,,,0.1,,0.008,,,
12917,24,7.1,,,,,,0.3,,0.504,54,/players/c/chrisbo01.html,524.0,,,0.2,9.4,Bob Christian,chrisbo01,C,1971.0,,ATL,,15.3,0.483,,,0.5,,0.042,,,
12921,22,19.6,,,,,,0.2,,0.173,73,/players/c/cookejo01.html,725.0,,,-0.6,10.4,Joe Cooke,cookejo01,SG,1971.0,,CLE,,7.6,0.431,,,-0.4,,-0.025,,,
12925,22,6.3,,,,,,1.6,,0.366,79,/players/c/crosspe01.html,2194.0,,,1.0,13.1,Pete Cross,crosspe01,C,1971.0,,SEA,,19.8,0.49,,,2.6,,0.058,,,
12943,22,16.8,,,,,,0.1,,0.255,35,/players/f/fontale01.html,210.0,,,-0.4,12.1,Levi Fontaine,fontale01,SG,1971.0,,SFW,,3.1,0.415,,,-0.3,,-0.069,,,
12948,22,11.4,,,,,,0.5,,0.299,52,/players/f/freemga01.html,382.0,,,0.8,15.0,Gary Freeman,freemga01,SF,1971.0,,TOT,,13.2,0.551,,,1.2,,0.155,,,
12951,23,5.4,,,,,,0.2,,0.481,27,/players/g/gilmowa01.html,261.0,,,-0.1,6.4,Walt Gilmore,gilmowa01,PF,1971.0,,POR,,12.2,0.443,,,0.2,,0.033,,,
12969,21,0.0,,,,,,0.0,,1.167,6,/players/h/henryal01.html,26.0,,,0.0,10.2,Al Henry,henryal01,C,1971.0,,PHI,,19.0,0.385,,,0.0,,-0.007,,,
12972,24,0.0,,,,,,0.0,,0.375,6,/players/h/holtaw01.html,14.0,,,-0.1,-1.8,A.W. Holt,holtaw01,SF,1971.0,,CHI,,13.5,0.215,,,-0.1,,-0.398,,,
12978,22,4.3,,,,,,0.9,,0.174,77,/players/h/hydergr01.html,1359.0,,,0.3,8.7,Greg Hyder,hydergr01,SF,1971.0,,CIN,,11.0,0.474,,,1.1,,0.04,,,
12989,22,0.0,,,,,,0.0,,0.25,4,/players/k/killuea01.html,12.0,,,-0.1,-5.3,Earnie Killum,killuea01,G,1971.0,,LAL,,7.5,0.113,,,-0.1,,-0.314,,,
12992,23,9.5,,,,,,0.6,,0.165,52,/players/k/knighro01.html,662.0,,,-0.3,9.0,Ron Knight,knighro01,PF,1971.0,,POR,,11.0,0.44,,,0.3,,0.024,,,
13009,22,18.5,,,,,,0.2,,0.225,23,/players/m/marlaha01.html,214.0,,,-0.4,7.3,Harvey Marlatt,marlaha01,SG,1971.0,,DET,,5.2,0.37,,,-0.3,,-0.058,,,
